identifier,latitude,longitude,feature,taille
0201-107,13.304,40.987,FEATURE_VOLCANO,2.894316063
0201-121,11.63,41.45,FEATURE_VOLCANO,2.942008053
0201-21-,8.558,39.475,FEATURE_VOLCANO,3.388633969
0201-26-,8.05,38.35,FEATURE_VOLCANO,3.358125285
0201-30-,6.65,38.12,FEATURE_VOLCANO,3.213783299
0201-29-,7.193,38.39,FEATURE_VOLCANO,3.365487985
0201-113,12.595,40.48,FEATURE_VOLCANO,3.146438135
0201-114,12.38,40.07,FEATURE_VOLCANO,3.114610984
0201-07=,13.792,40.55,FEATURE_VOLCANO,2.787460475
0201-141,11.28,41.63,FEATURE_VOLCANO,3.028571253
0201-18=,9.35,40.13,FEATURE_VOLCANO,3.061075324
0201-311,5.708,37.713,FEATURE_VOLCANO,3.06069784
0201-252,7.874,38.902,FEATURE_VOLCANO,3.276231958
0201-08=,13.6,40.67,FEATURE_VOLCANO,2.787460475
0201-19=,8.975,39.93,FEATURE_VOLCANO,3.302547372
0201-15=,11.08,41.27,FEATURE_VOLCANO,3.164055292
0201-05=,13.975,40.408,FEATURE_VOLCANO,2.457881897
0201-23-,8.357,39.188,FEATURE_VOLCANO,3.272537777
0201-116,11.816,40.242,FEATURE_VOLCANO,2.930439595
0201-091,13.51,40.722,FEATURE_VOLCANO,2.692846919
0201-171,9.78,40.33,FEATURE_VOLCANO,2.954242509
0201-293,6.78,37.83,FEATURE_VOLCANO,3.255272505
0201-20-,8.788,39.701,FEATURE_VOLCANO,3.139879086
0201-32-,5.1,35.88,FEATURE_VOLCANO,2.959994838
0201-12=,11.88,41.208,FEATURE_VOLCANO,2.795880017
0201-172,9.57,40.28,FEATURE_VOLCANO,2.943494516
0201-111,13.013,40.185,FEATURE_VOLCANO,3.241795431
0201-102,13.27,41.65,FEATURE_VOLCANO,3.273001272
0201-115,12.17,40.82,FEATURE_VOLCANO,2.77815125
0201-122,12.38,42.2,FEATURE_VOLCANO,2.77815125
0201-105,13.106,41.161,FEATURE_VOLCANO,2.692846919
,6.76,37.97,FEATURE_VOLCANO,3.202488317
0201-28-,7.47,38.58,FEATURE_VOLCANO,3.317018101
0201-222,8.43,39.35,FEATURE_VOLCANO,3.24674471
0201-103,13.18,41.725,FEATURE_VOLCANO,3.20709554
0201-106,13.284,41.063,FEATURE_VOLCANO,2.8162413
0201-292,7.42,35.43,FEATURE_VOLCANO,3.435844366
0201-31-,5.92,37.57,FEATURE_VOLCANO,3.217483944
0201-25-,8.159,39.137,FEATURE_VOLCANO,3.369772289
0201-221,8.62,38.95,FEATURE_VOLCANO,3.255272505
0201-201,8.7,39.63,FEATURE_VOLCANO,3.113943352
0201-251,8.013,39.062,FEATURE_VOLCANO,3.275541688
0201-151,10.58,41.042,FEATURE_VOLCANO,3.14082218
0204-01=,4.203,9.17,FEATURE_VOLCANO,3.612253906
0204-02-,5.03,9.83,FEATURE_VOLCANO,3.38219721
0204-03-,6.25,10.5,FEATURE_VOLCANO,3.478710756
0204-011,4.758,9.717,FEATURE_VOLCANO,2.698970004
0204-002,3.35,8.52,FEATURE_VOLCANO,3.354108439
0204-003,3.35,8.63,FEATURE_VOLCANO,3.302979937
0204-004,3.588,8.762,FEATURE_VOLCANO,3.476976466
0204-001,0.32,6.72,FEATURE_VOLCANO,3.306210508
1102-09-,56.88,-158.17,FEATURE_VOLCANO,3.127428778
1102-08-,56.552,-158.785,FEATURE_VOLCANO,3.013679697
1102-11-,57.135,-156.99,FEATURE_VOLCANO,3.346548559
1102-05-,55.641,-161.214,FEATURE_VOLCANO,3.131618664
1102-21-,58.418,-154.449,FEATURE_VOLCANO,3.359266165
1102-27-,58.855,-153.542,FEATURE_VOLCANO,3.330413773
1102-011,55.183,-162.276,FEATURE_VOLCANO,3.165837625
1102-02-,55.341,-162.073,FEATURE_VOLCANO,3.15715444
1102-26-,58.77,-153.672,FEATURE_VOLCANO,3.3232521
1102-01-,55.067,-162.835,FEATURE_VOLCANO,3.237543738
1102-19-,58.354,-155.092,FEATURE_VOLCANO,3.364926034
1102-25-,58.608,-154.028,FEATURE_VOLCANO,2.954724791
